time,open,high,low,close,MA,MA,MA,MA,MA,MA,Relative Strength Line,Relative Strength Line MA,PlotCandle (開盤價),PlotCandle (最高價,PlotCandle (最低價),PlotCandle (關閉),Shapes,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2017-03-06,34.84125,34.9425,34.648975,34.835,27.898856250000012,29.06379166666667,31.531375000000047,33.900937499999976,34.46974999999999,34.743000000000016,43.85217697807916,43.04423820551272,,,,,0,87000176,111455478,80.84919916113977,87.06004234135466,,,,,,
2017-03-07,34.765,34.995,34.6975,34.88,27.955506250000013,29.119575000000005,31.643675000000048,34.01631249999997,34.54024999999999,34.869500000000016,44.05319726688307,43.135961756546386,,,,,0,69785188,110948528.56,81.18416114173256,86.46338657863298,,,,,,
2017-03-08,34.7375,34.95,34.705,34.75,28.01023125000001,29.177108333333333,31.75722500000005,34.10968749999997,34.58749999999999,34.83000000000002,44.017243781640694,43.216078304282235,,,,,0,74828944,110358239.12,76.99445514901873,85.53789566656371,,,,,,
2017-03-09,34.685,34.6975,34.2625,34.67,28.06304375000001,29.231924999999997,31.868025000000053,34.19268749999997,34.641249999999985,34.81600000000002,44.01645379986289,43.28883971297139,,,,,0,88623616,110990752.72,74.44822358259421,84.52141947618199,,,,,,
2017-03-10,34.8125,34.839275,34.66,34.785,28.114593750000008,29.287374999999997,31.977425000000057,34.27668749999997,34.70324999999998,34.78400000000001,44.12716132387827,43.365050768508375,,,,,0,78451204,111096028.4,75.69264830189186,83.56677001087124,,,,,,
2017-03-13,34.7125,34.8575,34.705,34.8,28.16406875000001,29.340241666666667,32.089625000000055,34.365187499999976,34.759999999999984,34.77700000000001,44.002360279861755,43.42298799681323,,,,,0,69686868,110817294.4,75.85780733972877,82.55664340373576,,,,,,
2017-03-14,34.825,34.9125,34.71,34.7475,28.212293750000008,29.391275,32.200925000000055,34.436437499999975,34.80999999999999,34.75050000000001,43.91987259160639,43.4681593236126,,,,,0,61236260,110838858.08,73.96356617715783,81.38454658277801,,,,,,
2017-03-15,34.8525,35.187525,34.75625,35.115,28.26243125000001,29.444025,32.32412500000005,34.50443749999998,34.82674999999999,34.82350000000001,44.53486651588493,43.56513270472827,,,,,0,102767096,110447298.8,78.08828284025907,80.85445182293027,,,,,,
2017-03-16,35.18,35.255,35.065,35.1725,28.313468750000013,29.498508333333334,32.446825000000054,34.569187499999984,34.86999999999999,34.924000000000014,44.23731584816749,43.62624026322275,,,,,0,76927992,109683309.44,78.6579790735424,80.35177751097187,,,,,78.6579790735424,
2017-03-17,35.25,35.25,34.9725,34.9975,28.36538125000001,29.551941666666668,32.56667500000005,34.62724999999998,34.87524999999999,34.96650000000002,44.08893162787963,43.668303114555194,,,,,0,175539808,111504656.32,72.48139489399061,79.37943071821607,,,,,,
2017-03-20,35.1,35.375,35.0575,35.365,28.420056250000005,29.607408333333332,32.69092500000006,34.698999999999984,34.928249999999984,35.07950000000002,44.61053295490382,43.7539603727687,,,,,0,86168152,111452532.4,76.6313482492079,78.69692556175288,,,,,,
2017-03-21,35.5275,35.7,34.9325,34.96,28.472456250000008,29.658008333333335,32.80057500000005,34.73824999999998,34.93624999999999,35.122000000000014,44.18846667537403,43.793460945732825,,,,,0,158119648,112074773.36,64.99812662312131,76.93692845691267,,,,,,
2017-03-22,34.96125,35.4,34.94,35.355,28.52594375000001,29.711408333333335,32.91272500000005,34.792124999999984,34.99674999999999,35.170000000000016,45.24918729362377,43.925799704632,,,,,0,103440660,111458630.72,69.81161732988856,75.99375242897621,,,,,,
2017-03-23,35.315,35.3961,35.1525,35.23,28.57830625000001,29.76424166666667,33.021775000000055,34.84699999999998,35.05274999999999,35.181500000000014,45.00415167450872,44.02383170189352,,,,,0,81385204,111129370.72,66.68623847042278,74.73893202383549,,,,,,
2017-03-24,35.375,35.435,35.0875,35.16,28.63043125000001,29.816841666666665,33.12622500000006,34.89674999999998,35.09024999999998,35.21400000000001,44.96240345103923,44.109156406361315,,,,,0,89582252,110713928.32,64.93310943961569,73.60206847229806,,,64.93310943961569,,,
2017-03-27,34.8475,35.305,34.655,35.22,28.681968750000014,29.869375,33.23437500000006,34.94612499999998,35.132249999999985,35.18500000000002,45.07717642642002,44.19715822636665,,,,,0,94300376,110433038.24,65.76391547725842,72.50062235340705,,,,,,
2017-03-28,35.2275,36.01,35.155,35.95,28.738181250000014,29.928191666666667,33.35817500000005,35.03124999999998,35.25249999999998,35.38300000000002,46.05844746518392,44.3663663389864,,,,,0,133499220,111014066.8,73.87408865564966,72.27773903245213,,,,,,
2017-03-29,35.92,36.1225,35.7975,36.03,28.796656250000016,29.986975,33.47877500000006,35.08537499999998,35.34399999999998,35.518000000000015,45.82861649219654,44.49929817109641,,,,,0,116694844,110592776.24,74.58463784894118,72.28748290861976,,,,,74.58463784894118,
2017-03-30,36.0475,36.125,35.875,35.9825,28.854743750000015,30.04680833333333,33.59847500000006,35.14749999999997,35.42499999999999,35.668500000000016,45.718575427867165,44.610141558075576,,,,,0,84829008,110392319.52,73.30974779392014,72.11727572947895,,,,,,
2017-03-31,35.93,36.0675,35.7525,35.915,28.912893750000016,30.10695833333333,33.71787500000006,35.19599999999998,35.51674999999999,35.81950000000002,45.49926944418638,44.69097136590383,,,,,0,78646604,109917468.32,71.44093698839137,71.8017849900977,,,,,,
2017-04-03,35.9275,36.03,35.7625,35.925,28.970581250000013,30.168225000000003,33.83637500000006,35.250499999999974,35.572749999999985,35.96050000000002,45.6147998916503,44.77495577733532,,,,,0,79942856,108908494.08,71.55661897569401,71.62986018999314,,,,,,
2017-04-04,35.8125,36.2225,35.7925,36.1925,29.03238125000001,30.231475000000003,33.95982500000006,35.316124999999964,35.695999999999984,36.00900000000002,46.03004018924557,44.88905436023625,,,,,0,79565416,108735784.96,74.52882699429804,71.37561334385308,,,,,,
